index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
770;My sashimi was poor quality being soggy and tasteless.;0;My sashimi was poor quality being soggy and tasteless;my sashimi was poor quality being soggy and tasteless;['sashimi', 'poor', 'quality', 'soggy', 'tasteless'];sashimi poor quality soggy tasteless
771;Great time - family dinner on a Sunday night.;1;Great time family dinner on a Sunday night;great time family dinner on a sunday night;['great', 'time', 'family', 'dinner', 'sunday', 'night'];great time family dinner sunday night
772;"the food is not tasty at all, not to say its ""real traditional Hunan style"".";0;the food is not tasty at all not to say its real traditional Hunan style;the food is not tasty at all not to say its real traditional hunan style;['food', 'tasty', 'say', 'real', 'traditional', 'hunan', 'style'];food tasty say real traditional hunan style
773;What did bother me, was the slow service.;0;What did bother me was the slow service;what did bother me was the slow service;['bother', 'slow', 'service'];bother slow service
774;The flair bartenders are absolutely amazing!;1;The flair bartenders are absolutely amazing;the flair bartenders are absolutely amazing;['flair', 'bartenders', 'absolutely', 'amazing'];flair bartenders absolutely amazing
775;Their frozen margaritas are WAY too sugary for my taste.;0;Their frozen margaritas are WAY too sugary for my taste;their frozen margaritas are way too sugary for my taste;['frozen', 'margaritas', 'way', 'sugary', 'taste'];frozen margaritas way sugary taste
776;These were so good we ordered them twice.;1;These were so good we ordered them twice;these were so good we ordered them twice;['good', 'ordered', 'twice'];good ordered twice
777;So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.;0;So in a nutshell The restaraunt smells like a combination of a dirty fish market and a sewer;so in a nutshell the restaraunt smells like a combination of a dirty fish market and a sewer;['nutshell', 'restaraunt', 'smells', 'like', 'combination', 'dirty', 'fish', 'market', 'sewer'];nutshell restaraunt smells like combination dirty fish market sewer
778;My girlfriend's veal was very bad.;0;My girlfriend s veal was very bad;my girlfriend s veal was very bad;['girlfriend', 'veal', 'bad'];girlfriend veal bad
779;Unfortunately, it was not good.;0;Unfortunately it was not good;unfortunately it was not good;['unfortunately', 'good'];unfortunately good
780;I had a pretty satifying experience.;1;I had a pretty satifying experience;i had a pretty satifying experience;['pretty', 'satifying', 'experience'];pretty satifying experience
781;Join the club and get awesome offers via email.;1;Join the club and get awesome offers via email;join the club and get awesome offers via email;['join', 'club', 'get', 'awesome', 'offers', 'via', 'email'];join club get awesome offers via email
782;Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.;1;Perfect for someone me who only likes beer ice cold or in this case even colder;perfect for someone me who only likes beer ice cold or in this case even colder;['perfect', 'someone', 'likes', 'beer', 'ice', 'cold', 'case', 'even', 'colder'];perfect someone likes beer ice cold case even colder
783;Bland and flavorless is a good way of describing the barely tepid meat.;0;Bland and flavorless is a good way of describing the barely tepid meat;bland and flavorless is a good way of describing the barely tepid meat;['bland', 'flavorless', 'good', 'way', 'describing', 'barely', 'tepid', 'meat'];bland flavorless good way describing barely tepid meat
784;The chains, which I'm no fan of, beat this place easily.;0;The chains which I m no fan of beat this place easily;the chains which i m no fan of beat this place easily;['chains', 'fan', 'beat', 'place', 'easily'];chains fan beat place easily
785;The nachos are a MUST HAVE!;1;The nachos are a MUST HAVE;the nachos are a must have;['nachos', 'must'];nachos must
786;We will not be coming back.;0;We will not be coming back;we will not be coming back;['coming', 'back'];coming back
787;I don't have very many words to say about this place, but it does everything pretty well.;1;I don t have very many words to say about this place but it does everything pretty well;i don t have very many words to say about this place but it does everything pretty well;['many', 'words', 'say', 'place', 'everything', 'pretty', 'well'];many words say place everything pretty well
788;The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.;1;The staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff;the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff;['staff', 'super', 'nice', 'quick', 'even', 'crazy', 'crowds', 'downtown', 'juries', 'lawyers', 'court', 'staff'];staff super nice quick even crazy crowds downtown juries lawyers court staff
789;Great atmosphere, friendly and fast service.;1;Great atmosphere friendly and fast service;great atmosphere friendly and fast service;['great', 'atmosphere', 'friendly', 'fast', 'service'];great atmosphere friendly fast service
790;When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.;1;When I received my Pita it was huge it did have a lot of meat in it so thumbs up there;when i received my pita it was huge it did have a lot of meat in it so thumbs up there;['received', 'pita', 'huge', 'lot', 'meat', 'thumbs'];received pita huge lot meat thumbs
791;Once your food arrives it's meh.;0;Once your food arrives it s meh;once your food arrives it s meh;['food', 'arrives', 'meh'];food arrives meh
792;Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.;0;Paying for a hot dog and fries that looks like it came out of a kid s meal at the Wienerschnitzel is not my idea of a good meal;paying for a hot dog and fries that looks like it came out of a kid s meal at the wienerschnitzel is not my idea of a good meal;['paying', 'hot', 'dog', 'fries', 'looks', 'like', 'came', 'kid', 'meal', 'wienerschnitzel', 'idea', 'good', 'meal'];paying hot dog fries looks like came kid meal wienerschnitzel idea good meal
793;The classic Maine Lobster Roll was fantastic.;1;The classic Maine Lobster Roll was fantastic;the classic maine lobster roll was fantastic;['classic', 'maine', 'lobster', 'roll', 'fantastic'];classic maine lobster roll fantastic
794;My brother in law who works at the mall ate here same day, and guess what he was sick all night too.;0;My brother in law who works at the mall ate here same day and guess what he was sick all night too;my brother in law who works at the mall ate here same day and guess what he was sick all night too;['brother', 'law', 'works', 'mall', 'ate', 'day', 'guess', 'sick', 'night'];brother law works mall ate day guess sick night
795;So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.;1;So good I am going to have to review this place twice once hereas a tribute to the place and once as a tribute to an event held here last night;so good i am going to have to review this place twice once hereas a tribute to the place and once as a tribute to an event held here last night;['good', 'going', 'review', 'place', 'twice', 'hereas', 'tribute', 'place', 'tribute', 'event', 'held', 'last', 'night'];good going review place twice hereas tribute place tribute event held last night
796;The chips and salsa were really good, the salsa was very fresh.;1;The chips and salsa were really good the salsa was very fresh;the chips and salsa were really good the salsa was very fresh;['chips', 'salsa', 'really', 'good', 'salsa', 'fresh'];chips salsa really good salsa fresh
797;This place is great!!!!!!!!!!!!!!;1;This place is great;this place is great;['place', 'great'];place great
798;Mediocre food.;0;Mediocre food;mediocre food;['mediocre', 'food'];mediocre food
799;Once you get inside you'll be impressed with the place.;1;Once you get inside you ll be impressed with the place;once you get inside you ll be impressed with the place;['get', 'inside', 'impressed', 'place'];get inside impressed place
800;I'm super pissd.;0;I m super pissd;i m super pissd;['super', 'pissd'];super pissd
801;And service was super friendly.;1;And service was super friendly;and service was super friendly;['service', 'super', 'friendly'];service super friendly
802;Why are these sad little vegetables so overcooked?;0;Why are these sad little vegetables so overcooked;why are these sad little vegetables so overcooked;['sad', 'little', 'vegetables', 'overcooked'];sad little vegetables overcooked
803;This place was such a nice surprise!;1;This place was such a nice surprise;this place was such a nice surprise;['place', 'nice', 'surprise'];place nice surprise
804;They were golden-crispy and delicious.;1;They were golden crispy and delicious;they were golden crispy and delicious;['golden', 'crispy', 'delicious'];golden crispy delicious
805;I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.;0;I had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat;i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat;['high', 'hopes', 'place', 'since', 'burgers', 'cooked', 'charcoal', 'grill', 'unfortunately', 'taste', 'fell', 'flat', 'way', 'flat'];high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat
806;I could eat their bruschetta all day it is devine.;1;I could eat their bruschetta all day it is devine;i could eat their bruschetta all day it is devine;['could', 'eat', 'bruschetta', 'day', 'devine'];could eat bruschetta day devine
807;Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.;0;Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food;not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food;['single', 'employee', 'came', 'see', 'ok', 'even', 'needed', 'water', 'refill', 'finally', 'served', 'us', 'food'];single employee came see ok even needed water refill finally served us food
808;Lastly, the mozzarella sticks, they were the best thing we ordered.;1;Lastly the mozzarella sticks they were the best thing we ordered;lastly the mozzarella sticks they were the best thing we ordered;['lastly', 'mozzarella', 'sticks', 'best', 'thing', 'ordered'];lastly mozzarella sticks best thing ordered
809;The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.;1;The first time I ever came here I had an amazing experience I still tell people how awesome the duck was;the first time i ever came here i had an amazing experience i still tell people how awesome the duck was;['first', 'time', 'ever', 'came', 'amazing', 'experience', 'still', 'tell', 'people', 'awesome', 'duck'];first time ever came amazing experience still tell people awesome duck
810;The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!;0;The server was very negligent of our needs and made us feel very unwelcome I would not suggest this place;the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place;['server', 'negligent', 'needs', 'made', 'us', 'feel', 'unwelcome', 'would', 'suggest', 'place'];server negligent needs made us feel unwelcome would suggest place
811;The service was terrible though.;0;The service was terrible though;the service was terrible though;['service', 'terrible', 'though'];service terrible though
812;This place is overpriced, not consistent with their boba, and it really is OVERPRICED!;0;This place is overpriced not consistent with their boba and it really is OVERPRICED;this place is overpriced not consistent with their boba and it really is overpriced;['place', 'overpriced', 'consistent', 'boba', 'really', 'overpriced'];place overpriced consistent boba really overpriced
813;It was packed!!;0;It was packed;it was packed;['packed'];packed
815;I can say that the desserts were yummy.;1;I can say that the desserts were yummy;i can say that the desserts were yummy;['say', 'desserts', 'yummy'];say desserts yummy
817;The seasonal fruit was fresh white peach puree.;1;The seasonal fruit was fresh white peach puree;the seasonal fruit was fresh white peach puree;['seasonal', 'fruit', 'fresh', 'white', 'peach', 'puree'];seasonal fruit fresh white peach puree
818;It kept getting worse and worse so now I'm officially done.;0;It kept getting worse and worse so now I m officially done;it kept getting worse and worse so now i m officially done;['kept', 'getting', 'worse', 'worse', 'officially', 'done'];kept getting worse worse officially done
819;This place should honestly be blown up.;0;This place should honestly be blown up;this place should honestly be blown up;['place', 'honestly', 'blown'];place honestly blown
820;But I definitely would not eat here again.;0;But I definitely would not eat here again;but i definitely would not eat here again;['definitely', 'would', 'eat'];definitely would eat
821;Do not waste your money here!;0;Do not waste your money here;do not waste your money here;['waste', 'money'];waste money
822;I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.;1;I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes;i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes;['love', 'put', 'food', 'nice', 'plastic', 'containers', 'opposed', 'cramming', 'little', 'paper', 'takeout', 'boxes'];love put food nice plastic containers opposed cramming little paper takeout boxes
823;The crêpe was delicate and thin and moist.;1;The cr pe was delicate and thin and moist;the cr pe was delicate and thin and moist;['cr', 'pe', 'delicate', 'thin', 'moist'];cr pe delicate thin moist
824;Awful service.;0;Awful service;awful service;['awful', 'service'];awful service
825;Won't ever go here again.;0;Won t ever go here again;won t ever go here again;['ever', 'go'];ever go
826;Food quality has been horrible.;0;Food quality has been horrible;food quality has been horrible;['food', 'quality', 'horrible'];food quality horrible
827;For that price I can think of a few place I would have much rather gone.;0;For that price I can think of a few place I would have much rather gone;for that price i can think of a few place i would have much rather gone;['price', 'think', 'place', 'would', 'much', 'rather', 'gone'];price think place would much rather gone
828;The service here is fair at best.;0;The service here is fair at best;the service here is fair at best;['service', 'fair', 'best'];service fair best
829;I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.;0;I do love sushi but I found Kabuki to be over priced over hip and under services;i do love sushi but i found kabuki to be over priced over hip and under services;['love', 'sushi', 'found', 'kabuki', 'priced', 'hip', 'services'];love sushi found kabuki priced hip services
830;Do yourself a favor and stay away from this dish.;0;Do yourself a favor and stay away from this dish;do yourself a favor and stay away from this dish;['favor', 'stay', 'away', 'dish'];favor stay away dish
831;Very poor service.;0;Very poor service;very poor service;['poor', 'service'];poor service
832;No one at the table thought the food was above average or worth the wait that we had for it.;0;No one at the table thought the food was above average or worth the wait that we had for it;no one at the table thought the food was above average or worth the wait that we had for it;['one', 'table', 'thought', 'food', 'average', 'worth', 'wait'];one table thought food average worth wait
833;Best service and food ever, Maria our server was so good and friendly she made our day.;1;Best service and food ever Maria our server was so good and friendly she made our day;best service and food ever maria our server was so good and friendly she made our day;['best', 'service', 'food', 'ever', 'maria', 'server', 'good', 'friendly', 'made', 'day'];best service food ever maria server good friendly made day
834;They were excellent.;1;They were excellent;they were excellent;['excellent'];excellent
835;I paid the bill but did not tip because I felt the server did a terrible job.;0;I paid the bill but did not tip because I felt the server did a terrible job;i paid the bill but did not tip because i felt the server did a terrible job;['paid', 'bill', 'tip', 'felt', 'server', 'terrible', 'job'];paid bill tip felt server terrible job
836;Just had lunch here and had a great experience.;1;Just had lunch here and had a great experience;just had lunch here and had a great experience;['lunch', 'great', 'experience'];lunch great experience
837;I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.;0;I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor;i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor;['never', 'bland', 'food', 'surprised', 'considering', 'article', 'read', 'focused', 'much', 'spices', 'flavor'];never bland food surprised considering article read focused much spices flavor
838;Food is way overpriced and portions are fucking small.;0;Food is way overpriced and portions are fucking small;food is way overpriced and portions are fucking small;['food', 'way', 'overpriced', 'portions', 'fucking', 'small'];food way overpriced portions fucking small
839;I recently tried Caballero's and I have been back every week since!;1;I recently tried Caballero s and I have been back every week since;i recently tried caballero s and i have been back every week since;['recently', 'tried', 'caballero', 'back', 'every', 'week', 'since'];recently tried caballero back every week since
840;for 40 bucks a head, i really expect better food.;0;for bucks a head i really expect better food;for bucks a head i really expect better food;['bucks', 'head', 'really', 'expect', 'better', 'food'];bucks head really expect better food
841;The food came out at a good pace.;1;The food came out at a good pace;the food came out at a good pace;['food', 'came', 'good', 'pace'];food came good pace
842;I ate there twice on my last visit, and especially enjoyed the salmon salad.;1;I ate there twice on my last visit and especially enjoyed the salmon salad;i ate there twice on my last visit and especially enjoyed the salmon salad;['ate', 'twice', 'last', 'visit', 'especially', 'enjoyed', 'salmon', 'salad'];ate twice last visit especially enjoyed salmon salad
844;We could not believe how dirty the oysters were!;0;We could not believe how dirty the oysters were;we could not believe how dirty the oysters were;['could', 'believe', 'dirty', 'oysters'];could believe dirty oysters
845;This place deserves no stars.;0;This place deserves no stars;this place deserves no stars;['place', 'deserves', 'stars'];place deserves stars
847;In fact I'm going to round up to 4 stars, just because she was so awesome.;1;In fact I m going to round up to stars just because she was so awesome;in fact i m going to round up to stars just because she was so awesome;['fact', 'going', 'round', 'stars', 'awesome'];fact going round stars awesome
848;To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.;0;To my disbelief each dish qualified as the worst version of these foods I have ever tasted;to my disbelief each dish qualified as the worst version of these foods i have ever tasted;['disbelief', 'dish', 'qualified', 'worst', 'version', 'foods', 'ever', 'tasted'];disbelief dish qualified worst version foods ever tasted
849;Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!;0;Bad day or not I have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise;bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise;['bad', 'day', 'low', 'tolerance', 'rude', 'customer', 'service', 'people', 'job', 'nice', 'polite', 'wash', 'dishes', 'otherwise'];bad day low tolerance rude customer service people job nice polite wash dishes otherwise
850;the potatoes were great and so was the biscuit.;1;the potatoes were great and so was the biscuit;the potatoes were great and so was the biscuit;['potatoes', 'great', 'biscuit'];potatoes great biscuit
851;I probably would not go here again.;0;I probably would not go here again;i probably would not go here again;['probably', 'would', 'go'];probably would go
852;So flavorful and has just the perfect amount of heat.;1;So flavorful and has just the perfect amount of heat;so flavorful and has just the perfect amount of heat;['flavorful', 'perfect', 'amount', 'heat'];flavorful perfect amount heat
853;The price is reasonable and the service is great.;1;The price is reasonable and the service is great;the price is reasonable and the service is great;['price', 'reasonable', 'service', 'great'];price reasonable service great
854;The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.;0;The Wife hated her meal coconut shrimp and our friends really did not enjoy their meals either;the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either;['wife', 'hated', 'meal', 'coconut', 'shrimp', 'friends', 'really', 'enjoy', 'meals', 'either'];wife hated meal coconut shrimp friends really enjoy meals either
855;My fella got the huevos rancheros and they didn't look too appealing.;0;My fella got the huevos rancheros and they didn t look too appealing;my fella got the huevos rancheros and they didn t look too appealing;['fella', 'got', 'huevos', 'rancheros', 'look', 'appealing'];fella got huevos rancheros look appealing
856;Went in for happy hour, great list of wines.;1;Went in for happy hour great list of wines;went in for happy hour great list of wines;['went', 'happy', 'hour', 'great', 'list', 'wines'];went happy hour great list wines
857;Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!;1;Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot;some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot;['may', 'say', 'buffet', 'pricey', 'think', 'get', 'pay', 'place', 'getting', 'quite', 'lot'];may say buffet pricey think get pay place getting quite lot
858;I probably won't be coming back here.;0;I probably won t be coming back here;i probably won t be coming back here;['probably', 'coming', 'back'];probably coming back
859;Worst food/service I've had in a while.;0;Worst food service I ve had in a while;worst food service i ve had in a while;['worst', 'food', 'service'];worst food service
860;This place is pretty good, nice little vibe in the restaurant.;1;This place is pretty good nice little vibe in the restaurant;this place is pretty good nice little vibe in the restaurant;['place', 'pretty', 'good', 'nice', 'little', 'vibe', 'restaurant'];place pretty good nice little vibe restaurant
861;Talk about great customer service of course we will be back.;1;Talk about great customer service of course we will be back;talk about great customer service of course we will be back;['talk', 'great', 'customer', 'service', 'course', 'back'];talk great customer service course back
862;Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.;0;Hot dishes are not hot cold dishes are close to room temp I watched staff prepare food with BARE HANDS no gloves Everything is deep fried in oil;hot dishes are not hot cold dishes are close to room temp i watched staff prepare food with bare hands no gloves everything is deep fried in oil;['hot', 'dishes', 'hot', 'cold', 'dishes', 'close', 'room', 'temp', 'watched', 'staff', 'prepare', 'food', 'bare', 'hands', 'gloves', 'everything', 'deep', 'fried', 'oil'];hot dishes hot cold dishes close room temp watched staff prepare food bare hands gloves everything deep fried oil
863;I love their fries and their beans.;1;I love their fries and their beans;i love their fries and their beans;['love', 'fries', 'beans'];love fries beans
864;Always a pleasure dealing with him.;1;Always a pleasure dealing with him;always a pleasure dealing with him;['always', 'pleasure', 'dealing'];always pleasure dealing
865;They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.;1;They have a plethora of salads and sandwiches and everything I ve tried gets my seal of approval;they have a plethora of salads and sandwiches and everything i ve tried gets my seal of approval;['plethora', 'salads', 'sandwiches', 'everything', 'tried', 'gets', 'seal', 'approval'];plethora salads sandwiches everything tried gets seal approval
866;This place is awesome if you want something light and healthy during the summer.;1;This place is awesome if you want something light and healthy during the summer;this place is awesome if you want something light and healthy during the summer;['place', 'awesome', 'want', 'something', 'light', 'healthy', 'summer'];place awesome want something light healthy summer
867;For sushi on the Strip, this is the place to go.;1;For sushi on the Strip this is the place to go;for sushi on the strip this is the place to go;['sushi', 'strip', 'place', 'go'];sushi strip place go
868;The service was great, even the manager came and helped with our table.;1;The service was great even the manager came and helped with our table;the service was great even the manager came and helped with our table;['service', 'great', 'even', 'manager', 'came', 'helped', 'table'];service great even manager came helped table
869;The feel of the dining room was more college cooking course than high class dining and the service was slow at best.;0;The feel of the dining room was more college cooking course than high class dining and the service was slow at best;the feel of the dining room was more college cooking course than high class dining and the service was slow at best;['feel', 'dining', 'room', 'college', 'cooking', 'course', 'high', 'class', 'dining', 'service', 'slow', 'best'];feel dining room college cooking course high class dining service slow best
870;I started this review with two stars, but I'm editing it to give it only one.;0;I started this review with two stars but I m editing it to give it only one;i started this review with two stars but i m editing it to give it only one;['started', 'review', 'two', 'stars', 'editing', 'give', 'one'];started review two stars editing give one
871;this is the worst sushi i have ever eat besides Costco's.;0;this is the worst sushi i have ever eat besides Costco s;this is the worst sushi i have ever eat besides costco s;['worst', 'sushi', 'ever', 'eat', 'besides', 'costco'];worst sushi ever eat besides costco
872;All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.;1;All in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting;all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting;['excellent', 'restaurant', 'highlighted', 'great', 'service', 'unique', 'menu', 'beautiful', 'setting'];excellent restaurant highlighted great service unique menu beautiful setting
873;My boyfriend and i sat at the bar and had a completely delightful experience.;1;My boyfriend and i sat at the bar and had a completely delightful experience;my boyfriend and i sat at the bar and had a completely delightful experience;['boyfriend', 'sat', 'bar', 'completely', 'delightful', 'experience'];boyfriend sat bar completely delightful experience
874;Weird vibe from owners.;0;Weird vibe from owners;weird vibe from owners;['weird', 'vibe', 'owners'];weird vibe owners
875;There was hardly any meat.;0;There was hardly any meat;there was hardly any meat;['hardly', 'meat'];hardly meat
876;I've had better bagels from the grocery store.;0;I ve had better bagels from the grocery store;i ve had better bagels from the grocery store;['better', 'bagels', 'grocery', 'store'];better bagels grocery store
877;Go To Place for Gyros.;1;Go To Place for Gyros;go to place for gyros;['go', 'place', 'gyros'];go place gyros
878;I love the owner/chef, his one authentic Japanese cool dude!;1;I love the owner chef his one authentic Japanese cool dude;i love the owner chef his one authentic japanese cool dude;['love', 'owner', 'chef', 'one', 'authentic', 'japanese', 'cool', 'dude'];love owner chef one authentic japanese cool dude
879;Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.;0;Now the burgers aren t as good the pizza which used to be amazing is doughy and flavorless;now the burgers aren t as good the pizza which used to be amazing is doughy and flavorless;['burgers', 'good', 'pizza', 'used', 'amazing', 'doughy', 'flavorless'];burgers good pizza used amazing doughy flavorless
880;I found a six inch long piece of wire in my salsa.;0;I found a six inch long piece of wire in my salsa;i found a six inch long piece of wire in my salsa;['found', 'six', 'inch', 'long', 'piece', 'wire', 'salsa'];found six inch long piece wire salsa
881;The service was terrible, food was mediocre.;0;The service was terrible food was mediocre;the service was terrible food was mediocre;['service', 'terrible', 'food', 'mediocre'];service terrible food mediocre
882;We definately enjoyed ourselves.;1;We definately enjoyed ourselves;we definately enjoyed ourselves;['definately', 'enjoyed'];definately enjoyed
883;I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.;0;I ordered Albondigas soup which was just warm and tasted like tomato soup with frozen meatballs;i ordered albondigas soup which was just warm and tasted like tomato soup with frozen meatballs;['ordered', 'albondigas', 'soup', 'warm', 'tasted', 'like', 'tomato', 'soup', 'frozen', 'meatballs'];ordered albondigas soup warm tasted like tomato soup frozen meatballs
884;On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.;0;On three different occasions I asked for well done or medium well and all three times I got the bloodiest piece of meat on my plate;on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate;['three', 'different', 'occasions', 'asked', 'well', 'done', 'medium', 'well', 'three', 'times', 'got', 'bloodiest', 'piece', 'meat', 'plate'];three different occasions asked well done medium well three times got bloodiest piece meat plate
885;I had about two bites and refused to eat anymore.;0;I had about two bites and refused to eat anymore;i had about two bites and refused to eat anymore;['two', 'bites', 'refused', 'eat', 'anymore'];two bites refused eat anymore
886;The service was extremely slow.;0;The service was extremely slow;the service was extremely slow;['service', 'extremely', 'slow'];service extremely slow
887;After 20 minutes wait, I got a table.;0;After minutes wait I got a table;after minutes wait i got a table;['minutes', 'wait', 'got', 'table'];minutes wait got table
888;Seriously killer hot chai latte.;1;Seriously killer hot chai latte;seriously killer hot chai latte;['seriously', 'killer', 'hot', 'chai', 'latte'];seriously killer hot chai latte
889;No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.;0;No allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts;no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts;['allergy', 'warnings', 'menu', 'waitress', 'absolutely', 'clue', 'meals', 'contain', 'peanuts'];allergy warnings menu waitress absolutely clue meals contain peanuts
890;My boyfriend tried the Mediterranean Chicken Salad and fell in love.;1;My boyfriend tried the Mediterranean Chicken Salad and fell in love;my boyfriend tried the mediterranean chicken salad and fell in love;['boyfriend', 'tried', 'mediterranean', 'chicken', 'salad', 'fell', 'love'];boyfriend tried mediterranean chicken salad fell love
891;Their rotating beers on tap is also a highlight of this place.;1;Their rotating beers on tap is also a highlight of this place;their rotating beers on tap is also a highlight of this place;['rotating', 'beers', 'tap', 'also', 'highlight', 'place'];rotating beers tap also highlight place
892;Pricing is a bit of a concern at Mellow Mushroom.;0;Pricing is a bit of a concern at Mellow Mushroom;pricing is a bit of a concern at mellow mushroom;['pricing', 'bit', 'concern', 'mellow', 'mushroom'];pricing bit concern mellow mushroom
893;Worst Thai ever.;0;Worst Thai ever;worst thai ever;['worst', 'thai', 'ever'];worst thai ever
894;If you stay in Vegas you must get breakfast here at least once.;1;If you stay in Vegas you must get breakfast here at least once;if you stay in vegas you must get breakfast here at least once;['stay', 'vegas', 'must', 'get', 'breakfast', 'least'];stay vegas must get breakfast least
895;I want to first say our server was great and we had perfect service.;1;I want to first say our server was great and we had perfect service;i want to first say our server was great and we had perfect service;['want', 'first', 'say', 'server', 'great', 'perfect', 'service'];want first say server great perfect service
896;The pizza selections are good.;1;The pizza selections are good;the pizza selections are good;['pizza', 'selections', 'good'];pizza selections good
897;I had strawberry tea, which was good.;1;I had strawberry tea which was good;i had strawberry tea which was good;['strawberry', 'tea', 'good'];strawberry tea good
898;Highly unprofessional and rude to a loyal patron!;0;Highly unprofessional and rude to a loyal patron;highly unprofessional and rude to a loyal patron;['highly', 'unprofessional', 'rude', 'loyal', 'patron'];highly unprofessional rude loyal patron
899;Overall, a great experience.;1;Overall a great experience;overall a great experience;['overall', 'great', 'experience'];overall great experience
900;Spend your money elsewhere.;0;Spend your money elsewhere;spend your money elsewhere;['spend', 'money', 'elsewhere'];spend money elsewhere
901;Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!;1;Their regular toasted bread was equally satisfying with the occasional pats of butter Mmmm;their regular toasted bread was equally satisfying with the occasional pats of butter mmmm;['regular', 'toasted', 'bread', 'equally', 'satisfying', 'occasional', 'pats', 'butter', 'mmmm'];regular toasted bread equally satisfying occasional pats butter mmmm
902;The Buffet at Bellagio was far from what I anticipated.;0;The Buffet at Bellagio was far from what I anticipated;the buffet at bellagio was far from what i anticipated;['buffet', 'bellagio', 'far', 'anticipated'];buffet bellagio far anticipated
903;And the drinks are WEAK, people!;0;And the drinks are WEAK people;and the drinks are weak people;['drinks', 'weak', 'people'];drinks weak people
904;-My order was not correct.;0;My order was not correct;my order was not correct;['order', 'correct'];order correct
905;Also, I feel like the chips are bought, not made in house.;0;Also I feel like the chips are bought not made in house;also i feel like the chips are bought not made in house;['also', 'feel', 'like', 'chips', 'bought', 'made', 'house'];also feel like chips bought made house
906;After the disappointing dinner we went elsewhere for dessert.;0;After the disappointing dinner we went elsewhere for dessert;after the disappointing dinner we went elsewhere for dessert;['disappointing', 'dinner', 'went', 'elsewhere', 'dessert'];disappointing dinner went elsewhere dessert
907;The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!;1;The chips and sals a here is amazing;the chips and sals a here is amazing;['chips', 'sals', 'amazing'];chips sals amazing
908;We won't be returning.;0;We won t be returning;we won t be returning;['returning'];returning
909;This is my new fav Vegas buffet spot.;1;This is my new fav Vegas buffet spot;this is my new fav vegas buffet spot;['new', 'fav', 'vegas', 'buffet', 'spot'];new fav vegas buffet spot
